ID	Amami_REF	Amami_SEQ	Hachijo_REF	Hachijo_SEQ	Kagoshima_REF	Kagoshima_SEQ	Kochi_REF	Kochi_SEQ	Kyoto_REF	Kyoto_SEQ	Miyako_REF	Miyako_SEQ	Oki_REF	Oki_SEQ	Sado_REF	Sado_SEQ	Shuri_REF	Shuri_SEQ	Tokyo_REF	Tokyo_SEQ
all			m i ɴ n a	m i ɴ n a			m i ɴ n a	m i ɴ n a	m i ɴ n a	m i ɴ n a	mː - - n a	mː n a	- - ɴː n a	ɴː n a	m i ɴ n a	m i ɴ n a	- - ɴ n a	ɴ n a	m i ɴ n a	m i ɴ n a
bird	θ u r i - -	θ u r i	t o r i m e	t o r i m e	t o - iː - -	t o iː	t o r i - -	t o r i	t o r i - -	t o r i	t u - i - -	t u i	t o r i - -	t o r i	t o r i - -	t o r i	t u - i - -	t u i	t o r i - -	t o r i
bite	k ui ʦ ɨ k ɨ r u r i	k ui ʦ ɨ k ɨ r u r i	k ui ʦ u k u - - - -	k ui ʦ u k u	k a ɴ - ʦ u - -	k a ɴ ʦ u	k ui t u k u - - - -	k ui t u k u	k a m i ʦ u k u	k a m i ʦ u k u			k a m - - u - -	k a m u	k a m i ʦ u k u	k a m i ʦ u k u	k uː j u ɴ - - - - -	k uː j u ɴ	k a m i ʦ u k u	k a m i ʦ u k u
claw	ʦ ɨ m ɨ	ʦ ɨ m ɨ	ʦ u m e	ʦ u m e	ʦ ui m e	ʦ ui m e	t u m e	t u m e	ʦ u m e	ʦ u m e	ʦ ɨ m i	ʦ ɨ m i	ʦ u m e	ʦ u m e	ʦ u m e	ʦ u m e	ɕ i m i	ɕ i m i	ʦ u m e	ʦ u m e
dog	ʔ i ɴ -	ʔ i ɴ			- i ɴ -	i ɴ	- i n u	i n u	- i n u	i n u	- i n -	i n	- e n o	e n o	- i n u	i n u	ʔ i ɴ -	ʔ i ɴ	- i n u	i n u
drink	n u m u r i	n u m u r i	n o m u - -	n o m u	n o ɴ - - -	n o ɴ	n o m u - -	n o m u	n o m u - -	n o m u	n u m - - -	n u m	n o m u - -	n o m u	n o m u - -	n o m u	n u n u ɴ -	n u n u ɴ	n o m u - -	n o m u
grease_fat			a b u r a n i k u	a b u r a n i k u	a b u r a m i - -	a b u r a m i	a b u r a - - - -	a b u r a	a b u r a - - - -	a b u r a	a vː a - - - - - -	a vː a	a b u r a - - - -	a b u r a	a b u r a n i k u	a b u r a n i k u			a b u r a m i - -	a b u r a m i
hear	k i kʲ u r i	k i kʲ u r i	k i k u - -	k i k u	k iː - - - -	k iː	k i k u - -	k i k u	k i k u - -	k i k u	ʦ ɨ f u - -	ʦ ɨ f u	k i k u - -	k i k u	k i k u - -	k i k u	ʨ i ʦ u ɴ -	ʨ i ʦ u ɴ	k i k u - -	k i k u
heart	s i ɴ - d o	s i ɴ d o	s i ɴ - z oː	s i ɴ z oː	s i ɴ i z oː	s i ɴ i z oː			s i ɴ - z oː	s i ɴ z oː			s i ɴ - z oː	s i ɴ z oː	s i ɴ - z oː	s i ɴ z oː			s i ɴ - z oː	s i ɴ z oː
kill	- x u - - sː u r i	x u sː u r i	- k o r o s u - -	k o r o s u	u kː o r o s - - -	u kː o r o s	- k o r o s u - -	k o r o s u	- k o r o s u - -	k o r o s u	- k u r u s ɨ - -	k u r u s ɨ	- k o r o s u - -	k o r o s u	- k o r o s u - -	k o r o s u	- k u r u ɕ u ɴ -	k u r u ɕ u ɴ	- k o r o s u - -	k o r o s u
knee			h i ʥ a k a b u r a	h i ʥ a k a b u r a	h iː z a - - - - - -	h iː z a			h i z a - - - - - -	h i z a			ɸ u z a - - - - - -	ɸ u z a	h i z a - - - - - -	h i z a			h i z a - - - - - -	h i z a
know	s i ʨ - u r i	s i ʨ u r i			s iːː ʨ - o - -	s iːː ʨ o	s i tː j uː - -	s i tː j uː	s i tː - e r u	s i tː e r u	s ɨː - - - - -	s ɨː	s i ʨː - o r u	s i ʨː o r u	s i tː - o r u	s i tː o r u	s i ʦː - oː ɴ -	s i ʦː oː ɴ	s i tː - e r u	s i tː e r u
